"codmun_resid","cod7","UF","Regiao","mun","Ano","obito_SRAG","obitos_COVID","Interna_COVID","Pop","FPM","RM","PIBpc","ICMSpc","Saudepc","FPMpc","Regra 1_e_2","Regra 2_e_3","Regra_3_e_4","Regra_4_e_5","Regra_5_e_6","Regra_6_e_7"
110001,1100015,"RO","Norte","Alta Floresta D'Oeste",2020,25,21,27,22945,12457983.17,0,21607.11,733.758603181521,853.384651558074,542.949800392242,0,0,1,1,0,0
110003,1100031,"RO","Norte","Cabixi",2020,1,0,1,5312,5339135.75,0,26350.93,1865.03805722892,1589.13818524096,1005.10838667169,1,0,0,0,0,0
110005,1100056,"RO","Norte","Cerejeiras",2020,8,7,13,16323,10678271.4,0,31029.48,954.638785149789,958.129327329535,654.185590884029,0,1,1,0,0,0
110006,1100064,"RO","Norte","Colorado do Oeste",2020,5,5,0,15882,10678271.4,0,21088.16,816.003704193427,909.45732086639,672.350547789951,0,1,1,0,0,0
110007,1100072,"RO","Norte","Corumbiara",2020,3,3,1,7391,5339135.75,0,47258.65,2463.62242457042,932.499434447301,722.383405493167,1,0,0,0,0,0
110008,1100080,"RO","Norte","Costa Marques",2020,8,7,0,18331,10678271.4,0,13026.87,512.049480661175,522.799171894605,582.525306857236,0,0,1,1,0,0
110009,1100098,"RO","Norte","Espigão D'Oeste",2020,17,15,1,32374,14237694.9,0,19299.03,559.677721010688,564.487813677643,439.787944029159,0,0,0,0,1,1
110013,1100130,"RO","Norte","Machadinho D'Oeste",2020,19,16,17,39991,16017406.88,0,15828.5,439.934817083844,540.281587107099,400.525290190293,0,0,0,0,0,1
110014,1100148,"RO","Norte","Nova Brasilândia D'Oeste",2020,8,3,0,20474,10678271.4,0,17564.94,557.971774934063,654.531978118589,521.552769366025,0,0,1,1,0,0
110015,1100155,"RO","Norte","Ouro Preto do Oeste",2020,43,36,55,36035,16017406.88,0,23170.78,441.370413486888,746.78499514361,444.49582017483,0,0,0,0,1,1
110018,1100189,"RO","Norte","Pimenta Bueno",2020,27,23,11,36660,16017406.88,0,31770.15,759.624641025641,861.611901800327,436.917809056192,0,0,0,0,1,1
110026,1100262,"RO","Norte","Rio Crespo",2020,0,0,0,3764,5339135.75,0,29516.49,2222.77769394261,1435.48801540914,1418.47389744952,1,0,0,0,0,0
110029,1100296,"RO","Norte","Santa Luzia D'Oeste",2020,4,1,0,6495,5339135.75,0,21961.14,1267.42754888376,1110.18919014627,822.037836797537,1,0,0,0,0,0
110032,1100320,"RO","Norte","São Miguel do Guaporé",2020,9,8,0,23005,12457983.17,0,26812.88,786.381403607911,812.39386655075,541.533717452728,0,0,1,1,0,0
110033,1100338,"RO","Norte","Nova Mamoré",2020,16,11,51,30583,14237694.9,0,17305.13,528.139946702416,567.492513814865,465.542781937678,0,0,0,0,1,1
110034,1100346,"RO","Norte","Alvorada D'Oeste",2020,11,10,5,14411,8898559.53,0,18069.73,741.140289362293,788.858639927833,617.4838338769,0,1,1,0,0,0
110037,1100379,"RO","Norte","Alto Alegre dos Parecis",2020,11,7,5,13241,8898559.53,0,21805.1,772.928249376935,767.520082320066,672.045882486217,1,1,0,0,0,0
110040,1100403,"RO","Norte","Alto Paraíso",2020,12,10,5,21428,10678271.4,0,16726.11,506.75535187605,507.204540321075,498.33262086989,0,0,1,1,0,0
110045,1100452,"RO","Norte","Buritis",2020,17,10,91,39654,16017406.88,0,18317.21,500.430872799718,416.725088767842,403.929159227316,0,0,0,0,0,1
110050,1100502,"RO","Norte","Novo Horizonte do Oeste",2020,7,2,0,8538,5339135.75,0,19387.1,867.838838135395,815.765828062778,625.337988990396,1,0,0,0,0,0
110060,1100601,"RO","Norte","Cacaulândia",2020,2,1,1,6230,5339135.75,0,23188.63,1228.13867094703,970.917805778491,857.004133226324,1,0,0,0,0,0
